Year,Month,Value
1997,Dec,73.88
1998,Jan,80.65
1998,Feb,57.84
1998,Mar,35.9
1998,Apr,49.63
1998,May,23.29
1998,Jun,34.97
1998,Jul,43.48
1998,Aug,29.69
1998,Sep,32.27
1998,Oct,32.92
1998,Nov,55.49
1998,Dec,72.73
1999,Jan,86.2
1999,Feb,98.1
1999,Mar,86.1
1999,Apr,35.32
1999,May,22.83
1999,Jun,19.08
1999,Jul,16.39
1999,Aug,14.86
1999,Sep,12.04
1999,Oct,37.24
1999,Nov,62.3
1999,Dec,88.31
2000,Jan,75.76
2000,Feb,152.15
2000,Mar,115.74
2000,Apr,72.25
2000,May,22.97
2000,Jun,15.88
2000,Jul,13.6
2000,Aug,16.35
2000,Sep,10.09
2000,Oct,47.35
2000,Nov,68.41
2000,Dec,100.02
2001,Jan,71.96
2001,Feb,124.53
2001,Mar,90.76
2001,Apr,18.68
2001,May,14.5
2001,Jun,25.48
2001,Jul,24.35
2001,Aug,13.3
2001,Sep,14.79
2001,Oct,37.34
2001,Nov,45.3
2001,Dec,61.81
2002,Jan,59.23
2002,Feb,117.12
2002,Mar,24.31
2002,Apr,12.86
2002,May,10.63
2002,Jun,15.11
2002,Jul,8.76
2002,Aug,11.41
2002,Sep,10.02
2002,Oct,6.42
2002,Nov,23.37
2002,Dec,33.3
2003,Jan,70.93
2003,Feb,110.86
2003,Mar,46.95
2003,Apr,26.78
2003,May,15.41
2003,Jun,20.65
2003,Jul,14.66
2003,Aug,26.56
2003,Sep,11.01
2003,Oct,18.86
2003,Nov,27.75
2003,Dec,79.49
2004,Jan,91.51
2004,Feb,111.89
2004,Mar,61.59
2004,Apr,21.81
2004,May,32.31
2004,Jun,20.42
2004,Jul,17.25
2004,Aug,14.97
2004,Sep,14.05
2004,Oct,14.94
2004,Nov,32.98
2004,Dec,57.86
2005,Jan,62.73
2005,Feb,36.69
2005,Mar,36.5
2005,Apr,10.31
2005,May,17.26
2005,Jun,43.89
2005,Jul,24.23
2005,Aug,21.33
2005,Sep,18.76
2005,Oct,36.62
2005,Nov,35.85
2005,Dec,50.13
2006,Jan,129.6
2006,Feb,58.47
2006,Mar,91.7
2006,Apr,65.62
2006,May,10.83
2006,Jun,12.38
2006,Jul,24.93
2006,Aug,7.1
2006,Sep,12.25
2006,Oct,10.38
2006,Nov,17.89
2006,Dec,40.91
2007,Jan,106.89
2007,Feb,50.36
2007,Mar,94.76
2007,Apr,18.89
2007,May,22.24
